senate_district,GOVTOT22,GOVDEM22,GOVREP22,WSATOT22,WSADEM22,WSAREP22,WAGTOT22,WAGDEM22,WAGREP22,USHTOT22,USHDEM22,USHREP22,SOSTOT22,SOSDEM22,SOSREP22,USSTOT22,USSDEM22,USSREP22,WSSTOT22,WSSDEM22,WSSREP22,WSTTOT22,WSTDEM22,WSTREP22
1,88504,38832,48696,80571,23009,57155,87736,38751,48955,81729,0,59741,87462,36328,48169,88363,36980,51252,87420,35363,52009,86851,35326,49414
2,81327,33540,46846,79656,30239,45338,80599,33280,47294,76263,0,56607,80361,31006,46365,81073,31871,49129,NA,NA,NA,79788,30253,47542
3,41188,28494,12186,38892,27693,11035,40860,28048,12759,40882,27123,12691,40514,26708,11917,41401,28127,13146,40533,27958,12536,40290,26836,12438
4,58131,49219,8390,52916,48811,3688,57605,48545,8995,58082,48522,8647,57165,47021,8223,58659,49610,8946,NA,NA,NA,56784,47360,8686
5,94107,47813,45493,83733,32226,50513,93116,46244,46813,91754,43449,47565,92885,44618,45171,93940,45806,47898,92084,42962,49025,91790,43315,46959
6,57609,49686,7351,53327,49430,3410,57158,48898,8165,57690,48885,7790,56652,46968,7363,58139,50255,7780,NA,NA,NA,56389,47632,7876
7,81944,55040,26114,76867,53636,22755,81076,54037,26960,81229,51809,28002,80827,51672,25453,82007,54119,27708,80670,54252,26333,80244,51751,26917
8,102152,48833,52582,100090,45757,54264,101276,47126,54102,93164,33150,57896,100939,45434,52590,102031,46600,55260,NA,NA,NA,100004,43963,54495
9,80078,32797,46220,72092,9492,52537,79101,32757,46292,60938,0,57151,79006,31095,44967,79880,31314,48387,61765,0,57836,78392,29966,46456
10,80708,33668,45976,80546,31981,48534,80326,32773,47532,80512,32170,48307,80399,31086,45923,80677,32350,48272,NA,NA,NA,80141,31322,46822
11,78016,35113,41872,77113,32865,44170,77328,33819,43459,77491,31693,45123,77405,31423,43439,77834,33580,44074,77123,32087,44974,76670,31758,43016
12,89977,32909,55852,88279,20635,59183,89303,33547,55733,88586,22919,60281,89050,30984,55198,89756,31243,58364,NA,NA,NA,88488,30244,56171
13,86668,36751,48969,70748,12154,57026,85727,35682,50025,80202,26565,53023,85514,34177,48198,86192,35272,50817,63935,0,61817,84781,33415,49287
14,79787,31374,47430,72650,10969,54705,79061,30707,48319,67120,3085,57592,78998,29204,47004,79639,29902,49612,NA,NA,NA,78274,28384,47659
15,76388,47413,28050,75212,45509,29648,75506,45282,30165,75764,44491,30016,75663,43574,29391,76088,45549,30344,75260,46192,29006,74944,43744,29049
16,92092,73529,17943,87095,71642,14976,91426,71555,19809,91334,70787,18785,91100,69414,18160,91894,72009,19676,NA,NA,NA,90510,69611,19344
17,74098,34784,38321,73731,28795,44900,73441,33032,40375,73520,32702,39972,73363,32234,38539,73999,32701,41189,73825,29398,44405,72845,31495,39475
18,74094,32696,40586,67546,21232,45773,73340,32115,41193,54009,0,51457,72962,30346,39729,73852,31301,42426,NA,NA,NA,72211,29627,40606
19,80638,40312,39349,79142,37858,41255,79788,39791,39971,66290,0,50374,79562,37032,39089,80274,38651,41530,79338,36447,42858,79018,36439,40279
20,95571,30695,64070,89370,20683,68493,94787,30091,64666,86112,14134,70002,94498,28573,62910,95413,29171,66154,NA,NA,NA,93725,27609,64295
21,85508,34449,50098,80389,21296,52755,84858,33960,50841,85247,30858,53805,84713,32296,49560,85460,33163,52086,65459,0,61621,84164,31712,50704
22,56721,34163,21808,55318,35169,16602,56229,33869,22301,56517,32079,23979,56250,32560,21398,56794,33764,22876,NA,NA,NA,55876,32559,22115
23,74918,31363,42514,73725,27425,46259,74333,31813,42492,74455,29477,44932,74110,29125,42120,74270,29139,44991,59527,0,56391,73692,28720,42806
24,80312,36312,42945,79976,34626,45305,79622,36375,43212,78211,32059,46104,79604,34059,42627,80180,34502,45527,NA,NA,NA,79163,33705,43223
25,82991,38062,43846,77863,27054,50004,82513,37419,45061,82869,36212,46624,82538,36054,43691,82971,36518,46361,82984,35652,47293,82314,36085,44461
26,94250,83052,10660,89055,82358,5845,93508,81175,12246,93741,80313,11531,93251,78049,11055,94483,82510,11800,NA,NA,NA,92622,78837,12530
27,98047,67840,29357,96273,65339,30862,97300,65493,31754,96625,63577,30978,96962,63665,29728,97810,65553,32043,96534,65618,30863,96206,62963,31379
28,89805,37884,51087,86021,25368,54037,88812,36916,51832,88149,33984,53750,88498,35305,50398,89595,35997,53406,NA,NA,NA,87649,34279,51741
29,80160,31837,47298,73901,18786,54445,79634,32167,47440,79583,29582,49958,79529,30150,46903,79910,30266,49527,79454,29798,49602,78912,29258,47755
30,68911,31361,36661,67908,29069,38783,68338,31041,37234,64394,0,45046,68067,29079,36177,68754,29947,38634,NA,NA,NA,67615,28444,37348
31,77620,38957,37615,77016,36293,40678,77159,38753,38364,77321,37824,39452,77039,35927,37682,77203,36958,40130,77223,38936,38239,76592,36334,38255
32,79636,43483,35095,79500,42206,37250,78972,43349,35578,79592,43002,36517,78761,40137,35160,79627,41304,38172,NA,NA,NA,78210,39869,36201
33,94534,36513,57255,84069,21862,61326,93439,34959,58432,91949,32504,59382,93296,33445,57009,94309,34435,59668,69838,0,67323,91949,32134,58249
